;;;;;Coeff :;1,00;Supp. :;0,00
Handle;Calque;Type d'Objet;Longueur (AutoCAD);Longueur (Corrigée)
3FF6BD;UBS-300-Tranchée 40cm;Polyligne;14,73;=$G$1*($I$1+D198)
40ED06;UBS-300-Tranchée 40cm;Polyligne;25,35;=$G$1*($I$1+D199)
3FF6D6;UBS-300-Tranchée 40cm;Polyligne;33,33;=$G$1*($I$1+D200)
EDD894;UBS-300-Tranchée 40cm;Polyligne;33,77;=$G$1*($I$1+D201)
EE4F34;UBS-300-Tranchée 40cm;Polyligne;39,25;=$G$1*($I$1+D202)
EDD890;UBS-300-Tranchée 40cm;Polyligne;39,40;=$G$1*($I$1+D203)
EE4F32;UBS-300-Tranchée 40cm;Polyligne;43,63;=$G$1*($I$1+D204)
EE4F33;UBS-300-Tranchée 40cm;Polyligne;44,83;=$G$1*($I$1+D205)
EDD896;UBS-300-Tranchée 40cm;Polyligne;45,74;=$G$1*($I$1+D206)
3FF6D1;UBS-300-Tranchée 40cm;Polyligne;47,69;=$G$1*($I$1+D207)
3FF6EE;UBS-300-Tranchée 40cm;Polyligne;50,75;=$G$1*($I$1+D208)
3FF6E7;UBS-300-Tranchée 40cm;Polyligne;58,50;=$G$1*($I$1+D209)
40ED24;UBS-300-Tranchée 40cm;Polyligne;60,93;=$G$1*($I$1+D210)
40ED23;UBS-300-Tranchée 40cm;Polyligne;60,93;=$G$1*($I$1+D211)
3FF6DF;UBS-300-Tranchée 40cm;Polyligne;62,51;=$G$1*($I$1+D212)
EE53D7;UBS-300-Tranchée 40cm;Polyligne;62,57;=$G$1*($I$1+D213)
3FF71C;UBS-300-Tranchée 40cm;Polyligne;62,57;=$G$1*($I$1+D214)
3FF6F0;UBS-300-Tranchée 40cm;Polyligne;66,57;=$G$1*($I$1+D215)
EDD892;UBS-300-Tranchée 40cm;Polyligne;67,41;=$G$1*($I$1+D216)
EE53D8;UBS-300-Tranchée 40cm;Polyligne;67,95;=$G$1*($I$1+D217)
3FF71B;UBS-300-Tranchée 40cm;Polyligne;67,95;=$G$1*($I$1+D218)
EE4F35;UBS-300-Tranchée 40cm;Polyligne;70,74;=$G$1*($I$1+D219)
F2C7F4;UBS-300-Tranchée 40cm;Polyligne;77,11;=$G$1*($I$1+D220)
3FF6D4;UBS-300-Tranchée 40cm;Polyligne;79,79;=$G$1*($I$1+D221)
EE4F2F;UBS-300-Tranchée 40cm;Polyligne;80,00;=$G$1*($I$1+D222)
EE4F36;UBS-300-Tranchée 40cm;Polyligne;80,00;=$G$1*($I$1+D223)
EE4F41;UBS-300-Tranchée 40cm;Polyligne;83,30;=$G$1*($I$1+D224)
EE4F40;UBS-300-Tranchée 40cm;Polyligne;83,30;=$G$1*($I$1+D225)
422DF8;UBS-300-Tranchée 40cm;Polyligne;83,64;=$G$1*($I$1+D226)
EE4F31;UBS-300-Tranchée 40cm;Polyligne;83,64;=$G$1*($I$1+D227)
40ED25;UBS-300-Tranchée 40cm;Polyligne;86,25;=$G$1*($I$1+D228)
40ED27;UBS-300-Tranchée 40cm;Polyligne;86,25;=$G$1*($I$1+D229)
EE4F30;UBS-300-Tranchée 40cm;Polyligne;87,75;=$G$1*($I$1+D230)
3FF6EC;UBS-300-Tranchée 40cm;Polyligne;87,85;=$G$1*($I$1+D231)
EE4FFA;UBS-300-Tranchée 40cm;Polyligne;88,22;=$G$1*($I$1+D232)
EE4FFB;UBS-300-Tranchée 40cm;Polyligne;88,23;=$G$1*($I$1+D233)
3FF6D3;UBS-300-Tranchée 40cm;Polyligne;89,59;=$G$1*($I$1+D234)
F14CB3;UBS-300-Tranchée 40cm;Polyligne;89,79;=$G$1*($I$1+D235)
EE4F3B;UBS-300-Tranchée 40cm;Polyligne;89,93;=$G$1*($I$1+D236)
EE4F3C;UBS-300-Tranchée 40cm;Polyligne;90,53;=$G$1*($I$1+D237)
EE6A65;UBS-300-Tranchée 40cm;Polyligne;90,53;=$G$1*($I$1+D238)
3FF6ED;UBS-300-Tranchée 40cm;Polyligne;90,58;=$G$1*($I$1+D239)
EE4FF9;UBS-300-Tranchée 40cm;Polyligne;95,75;=$G$1*($I$1+D240)
EE6A66;UBS-300-Tranchée 40cm;Polyligne;95,75;=$G$1*($I$1+D241)
3FF6D7;UBS-300-Tranchée 40cm;Polyligne;104,13;=$G$1*($I$1+D242)
EE4FF8;UBS-300-Tranchée 40cm;Polyligne;105,45;=$G$1*($I$1+D243)
EE4F37;UBS-300-Tranchée 40cm;Polyligne;138,27;=$G$1*($I$1+D244)
3FF6BC;UBS-300-Tranchée 60cm;Polyligne;6,28;=$G$1*($I$1+D245)
F15919;UBS-300-Tranchée 60cm;Polyligne;6,73;=$G$1*($I$1+D246)
3FF6B9;UBS-300-Tranchée 60cm;Polyligne;7,02;=$G$1*($I$1+D247)
F15A7C;UBS-300-Tranchée 60cm;Polyligne;7,48;=$G$1*($I$1+D248)
